id,totalDay,month,day,dayOfWeek,numberOfGames,homeTeamId,awayTeamId
729,152,8,26,1,2,6,0
730,152,8,26,1,3,7,1
731,152,8,26,1,4,11,3
732,152,8,26,1,5,9,5
733,153,8,27,2,0,4,2
734,153,8,27,2,1,10,8
735,153,8,27,2,2,6,0
736,153,8,27,2,3,7,1
737,153,8,27,2,4,11,3
738,153,8,27,2,5,9,5
739,154,8,28,3,0,4,2
740,154,8,28,3,1,10,8
741,154,8,28,3,2,6,0
742,154,8,28,3,3,7,1
743,154,8,28,3,4,11,3
744,154,8,28,3,5,9,5
745,155,8,29,4,0,6,10
746,155,8,29,4,1,8,2
747,155,8,29,4,2,4,0
748,155,8,29,4,3,3,7
749,155,8,29,4,4,11,9
750,155,8,29,4,5,5,1
751,156,8,30,5,0,6,10
752,156,8,30,5,1,8,2
753,156,8,30,5,2,4,0
754,156,8,30,5,3,3,7
755,156,8,30,5,4,11,9
756,156,8,30,5,5,5,1
757,159,9,2,1,0,0,8
758,159,9,2,1,1,10,2
759,159,9,2,1,2,6,4
760,159,9,2,1,3,7,11
761,159,9,2,1,4,3,5
762,159,9,2,1,5,1,9
763,160,9,3,2,0,0,8
764,160,9,3,2,1,10,2
765,160,9,3,2,2,6,4
766,160,9,3,2,3,7,11
767,160,9,3,2,4,3,5
768,160,9,3,2,5,1,9
769,161,9,4,3,0,0,8
770,161,9,4,3,1,10,2
771,161,9,4,3,2,6,4
772,161,9,4,3,3,7,11
773,161,9,4,3,4,3,5
774,161,9,4,3,5,1,9
775,162,9,5,4,0,4,8
776,162,9,5,4,1,10,0
777,162,9,5,4,2,2,6
778,162,9,5,4,3,11,5
779,162,9,5,4,4,9,3
780,162,9,5,4,5,1,7
781,163,9,6,5,0,4,8
782,163,9,6,5,1,10,0
783,163,9,6,5,2,2,6
784,163,9,6,5,3,11,5
785,163,9,6,5,4,9,3
786,163,9,6,5,5,1,7
787,164,9,7,6,0,4,8
788,164,9,7,6,1,10,0
789,164,9,7,6,2,2,6
790,164,9,7,6,3,11,5
791,164,9,7,6,4,9,3
792,164,9,7,6,5,1,7
793,166,9,9,1,0,0,6
794,166,9,9,1,1,8,10
795,166,9,9,1,2,9,7
796,166,9,9,1,3,5,11
797,167,9,10,2,0,0,6
798,167,9,10,2,1,8,10
799,167,9,10,2,2,9,7
800,167,9,10,2,3,5,11
801,168,9,11,3,0,0,6
802,168,9,11,3,1,8,10
803,168,9,11,3,2,9,7
804,168,9,11,3,3,5,11
805,169,9,12,4,0,0,2
806,169,9,12,4,1,4,10
807,169,9,12,4,2,6,8
808,169,9,12,4,3,3,11
809,169,9,12,4,4,7,5
810,169,9,12,4,5,9,1
811,170,9,13,5,0,0,2
812,170,9,13,5,1,4,10
813,170,9,13,5,2,3,11
814,170,9,13,5,3,7,5
815,170,9,13,5,4,9,1
816,171,9,14,6,0,0,2
817,171,9,14,6,1,4,6
818,171,9,14,6,2,8,10
819,171,9,14,6,3,3,11
820,171,9,14,6,4,7,5
821,171,9,14,6,5,9,1
822,172,9,15,0,0,0,2
823,172,9,15,0,1,8,4
824,172,9,15,0,2,6,10
825,172,9,15,0,3,3,11
826,172,9,15,0,4,7,5
827,172,9,15,0,5,9,1
828,174,9,17,2,0,8,0
829,174,9,17,2,1,4,10
830,174,9,17,2,2,6,2
831,174,9,17,2,3,7,3
832,174,9,17,2,4,9,5
833,174,9,17,2,5,1,11
834,175,9,18,3,0,4,10
835,175,9,18,3,1,6,2
836,175,9,18,3,2,7,3
837,175,9,18,3,3,9,5
838,175,9,18,3,4,1,11
839,177,9,20,5,0,0,6
840,177,9,20,5,1,10,8
841,177,9,20,5,2,2,4
842,177,9,20,5,3,3,5
843,177,9,20,5,4,1,11
844,177,9,20,5,5,9,7
845,178,9,21,6,0,0,6
846,178,9,21,6,1,2,4
847,178,9,21,6,2,3,5
848,178,9,21,6,3,1,11
849,180,9,23,1,0,4,0
850,180,9,23,1,1,8,2
851,180,9,23,1,2,6,10
852,180,9,23,1,3,11,5
853,180,9,23,1,4,1,7
854,180,9,23,1,5,9,3
855,181,9,24,2,0,4,0
856,181,9,24,2,1,8,2
857,181,9,24,2,2,11,7
858,181,9,24,2,3,1,9
